,MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,CaNA_N,class,Ts65Dn
376,562,0.538505474,0.762113279,0.340028558,2.588005712,5.944788196,0.161351737,0.141932413,1.988481675,0.182674917,1.758115183,0.846549262,0.278248453,0.275202285,0.212470252,0.978105664,0.72118039,1.897382199,1.449309852,0.311470728,0.827225131,0.455402189,0.340409329,0.141170871,1.860352213,3.613612565,1.322798667,0.208376963,0.237029986,0.696811042,0.126225607,0.368586387,2.561066159,0.273108044,0.382389338,0.271013803,0.740504522,0.549452642,0.468443598,0.557258448,0.445026178,0.320704426,0.464445502,0.176868158,0.252410433,1.035572922,0.162488582,0.617324673,0.279661017,0.433725769,1.356033695,0.088247234,0.175885517,0.187607835,0.116867959,0.143814067,0.166497513,0.205013701,0.129351467,0.260225312,0.143560337,0.366385872,0.248401502,1.614178423,1.886785751,0.126560438,0.842433777,0.678270577,0.187506343,0.124175378,0.13295443,0.116867959,0.129960418,0.429919821,0.104739673,0.148025982,1.294631077,1,0
798,834,0.372619829,0.621634931,0.292350624,2.470617203,4.060242942,0.271831911,0.1945174,5.03906763,0.230137886,1.312048588,0.459783322,0.354235062,0.279218647,0.306795798,0.871470781,0.910374261,1.767071569,1.229152988,0.42760998,0.669238345,0.326657912,0.362606697,0.179579777,1.086178595,2.326493762,1.12229153,0.24458306,0.272652659,0.76132633,0.179908076,0.435489166,2.403479974,0.558437295,0.451739987,0.419238345,0.858995404,0.571240972,0.358502955,0.558108995,0.312048588,0.291201576,0.423177938,0.381648063,0.176072898,1.083480306,0.132079169,1.766803841,0.283264746,0.340485989,1.198804625,0.074661964,0.124828532,0.171173819,0.136194395,0.162747403,0.211934156,0.160199882,0.096315893,0.203409759,0.099647266,0.515089163,0.271213012,1.712032138,2.580246914,0.156182638,1.445130316,0.793650794,0.198706643,0.117577895,0.109347443,0.136194395,0.101312953,0.401528513,0.16960922624333333,0.134332745,1.065451695,6,1
593,209,0.542598762,0.673647469,0.307472632,2.346501666,3.6127241,0.211962558,0.171664287,2.306203395,0.20276059,1.409487546,0.572584484,0.250674282,0.332222751,0.257972394,0.820878947,0.415516421,1.458194511,1.654450262,0.46231953,0.573536411,0.484055212,0.322227511,0.169125813,0.999524036,2.350943995,1.377756624,0.248294463,0.228621291,0.712835158,0.158813264,0.458035856,2.086149453,0.298746629,0.389021101,0.304616849,0.635411709,0.576392194,0.327463113,0.505156275,0.285578296,0.270030144,0.402665397,0.394256703,0.170465092,0.741363308,0.152933897,1.881303496,0.285139734,0.449623595,0.845622357,0.182840054,0.140558936,0.173146334,0.101887182,0.137362071,0.187480664,0.167165103,0.119418377,0.208621223,0.114674642,0.441992369,0.277405383,1.209755595,2.28483036,0.129215221,1.023099928,0.842734866,0.21274621,0.15791424234717408,0.118902753,0.101887182,0.114777766,0.379498814,0.144271424,0.18313453845517236,1.616376199,4,1
227,608,0.325509147,0.55908411,0.291796111,2.459325739,4.811414107,0.216545852,0.167184444,6.306869175,0.201357726,1.250834196,0.39512139,0.362674031,0.304798067,0.303072144,0.905074215,1.174433322,1.806351398,1.258083074,0.45276723,0.710965366,0.21712116,0.323092855,0.17282246,1.388332758,2.575768036,1.13001956,0.218041652,0.259118628,0.710390059,0.137613623,0.422621102,2.518352318,0.695777241,0.450350938,0.445978599,0.909216431,0.586123576,0.386031527,0.628581291,0.344379243,0.321021747,0.455988954,0.385686342,0.191278759,1.061864633,0.145398609,1.81346977,0.275615302,0.491439272,1.597846442,0.169007491,0.168673087,0.185861423,0.125601926,0.148542001,0.20993847,0.18452381,0.111021937,0.250535045,0.148675762,0.576845907,0.277755484,1.800093633,2.523742643,0.151417871,1.358212948,0.853397539,0.198568753,0.156300161,0.132022472,0.125601926,0.129547887,0.487225789,0.166867309,0.188937935,1.065877475,2,0
526,532,0.347258244,0.580863283,0.400981845,2.936550574,5.334197851,0.231104113,0.189885143,3.912560207,0.292145239,1.417654687,0.391256021,0.337625046,0.311504261,0.295572434,1.1194887,0.990459429,2.068729159,1.293812523,0.463968136,0.914227492,0.277880697,0.360689144,0.161541312,2.31391256,3.593090033,1.228140052,0.260003705,0.344479437,0.811411634,0.161726565,0.406724713,3.188866247,1.060670619,0.49851797,0.450351982,0.911078177,0.542237866,0.428584661,0.609299741,0.312152649,0.315579844,0.440163023,0.299184883,0.210537064,1.271645906,0.153154993,1.31626506,0.298345926,0.409281193,1.03435777,0.132479069,0.145905657,0.206606085,0.136716357,0.164845824,0.231315091,0.189605881,0.10736165,0.228660404,0.131100674,0.594241372,0.305340004,1.639830508,2.346589749,0.164641617,1.303400041,0.82024709,0.231774556,0.146671431,0.137277925,0.136716357,0.132581172,0.585817848,0.173371452,0.184807025,1.28803349,3,0
740,236,0.286352165,0.481459911,0.312560668,2.305571734,3.874005048,0.223451757,0.187730538,2.842360707,0.205202873,1.262473306,0.286934576,0.327509222,0.326538536,0.336051252,0.852649971,0.80120365,1.614637934,1.148514851,0.416618132,0.678120753,0.224810716,0.373713842,0.17569404,1.139002136,2.079790332,1.012036498,0.238788585,0.249854397,0.633663366,0.168122695,0.45971656,2.243642011,0.881382256,0.535624151,0.620267909,0.836536595,0.694039992,0.442826636,0.637740245,0.39565133,0.408464376,0.514463211,0.515433896,0.156751073,0.757907649,0.145798651,1.374748094,0.233067555,0.2775782,1.12599667,0.746341891,0.181459739,0.183913082,0.112853763,0.154472969,0.168229212,0.282660124,0.116796635,0.203539823,0.127661439,0.431437834,0.239901866,1.414264435,1.844475598,0.146937703,1.102339437,0.633400508,0.199158854,0.15791424234717408,0.13476174899371066,0.112853763,0.122579515,0.35696136,0.16960922624333333,0.18313453845517236,0.722597038,6,1
292,943,0.242337336,0.460835275,0.292704786,2.301666965,3.684531278,0.245563721,0.179422836,4.302921671,0.208460298,1.250403298,0.310808389,0.352213658,0.290553863,0.294855709,0.869152178,0.812690446,1.647786342,1.209356516,0.415486646,0.731493099,0.267252196,0.394156659,0.174045528,1.203441477,2.591503854,1.162036207,0.244846747,0.282846388,0.686502958,0.174762502,0.310808389,1.971141782,0.630937444,0.44111848,0.402939595,0.774870048,0.538985481,0.334468543,0.558523033,0.316006453,0.276214375,0.348628787,0.357590966,0.177795564,1.003887491,0.136176538,1.502972788,0.278756003,0.302538303,0.892522296,0.115138349,0.137548594,0.185799223,0.124399726,0.166819117,0.182597759,0.170706609,0.097301624,0.212325635,0.09638692,0.543905786,0.269380288,1.510404756,2.451177681,0.168305511,1.397896181,0.848387834,0.197804711,0.153555911,0.13476174899371066,0.124399726,0.109535788,0.486736794,0.16960922624333333,0.208095129,1.16327464,2,0
26,63,0.521126761,0.583045442,0.304278501,2.053414829,3.381344672,0.251660909,0.189476482,1.800956683,0.178049429,1.51767207,0.733988839,0.317565772,0.327664098,0.292319957,0.774647887,0.588094605,1.352112676,1.216848259,0.404996014,0.609619984,0.445920808,0.365399947,0.193994154,0.910975286,2.401541323,1.117193728,0.243954292,0.247408982,0.592080787,0.183630082,0.395163433,1.705022588,0.386925326,0.552218974,0.458942333,0.854371512,0.672601648,0.439808663,0.592612277,0.450969971,0.410045177,0.478341749,0.30029232,0.152730856,0.740990991,0.192989865,0.958333333,0.251126126,0.313907658,0.926238739,0.086148649,0.191722973,0.154279279,0.110078829,0.132460586,0.149774775,0.161317568,0.137528153,0.204673423,0.104448198,0.406109234,0.244650901,1.045326577,1.584881757,0.157657658,1.027167793,0.688344595,0.181869369,0.179757883,0.168637387,0.110078829,0.13105303943681595,0.389358108,0.148226351,0.269003378,1.238457207,0,0
73,110,0.334739803,0.473980309,0.318987342,2.018565401,3.457383966,0.259353024,0.209563994,3.457383966,0.192123769,1.173839662,0.517018284,0.354711674,0.315893108,0.281012658,0.764838256,0.720956399,1.482981716,1.080168776,0.412939522,0.674824191,0.338959212,0.443600563,0.195499297,0.926582278,2.308860759,0.97580872,0.263291139,0.281575246,0.640506329,0.175246132,0.409845288,1.667510549,0.361181435,0.578902954,0.559493671,0.850351617,0.729676512,0.454852321,0.655696203,0.496202532,0.391561181,0.47116737,0.241912799,0.154181818,0.813090909,0.165636364,0.873636364,0.317818182,0.330545455,0.956181818,0.08,0.177636364,0.163272727,0.136363636,0.167272727,0.164727273,0.168,0.136181818,0.282181818,0.137272727,0.650181818,0.334363636,1.497818182,2.076545455,0.199636364,1.381090909,0.808545455,0.251272727,0.15791424234717408,0.191454545,0.136363636,0.168545455,0.483090909,0.16960922624333333,0.18313453845517236,1.379272727,0,0
609,211,0.413551913,0.502295082,0.231256831,1.499453552,2.086338798,0.208743169,0.166994536,1.983169399,0.178579235,1.14273224,0.570054645,0.256174863,0.221857923,0.224918033,0.532240437,0.482404372,1.058142077,0.598907104,0.396284153,0.426885246,0.351038251,0.32284153,0.173770492,0.613551913,1.597595628,0.678907104,0.218360656,0.214644809,0.495956284,0.147540984,0.354098361,1.323278689,0.286338798,0.351912568,0.373333333,0.582076503,0.496830601,0.245027322,0.415519126,0.308415301,0.256830601,0.325464481,0.195846995,0.164722446,0.974054706,0.172968624,1.047063556,0.288616251,0.393201931,0.640185036,0.161906677,0.179002414,0.153861625,0.118664521,0.152252615,0.157884151,0.168543846,0.141391794,0.259452936,0.153861625,0.588495575,0.303499598,1.734915527,2.193081255,0.188857603,1.164923572,0.757843926,0.240949316,0.15791424234717408,0.21460177,0.118664521,0.164521319,0.476065969,0.16960922624333333,0.18313453845517236,1.439058729,4,1
